	copy_number
Actinopolymorpha_alba_DSM_45243	2
Saccharibacter_floricola_DSM_15669	3
Pleomorphomonas_oryzae_DSM_16300	4
Atopococcus_tabaci_DSM_17538	6
Azovibrio_restrictus_DSM_23866	1
Actinokineospora_inagensis_DSM_44258	4
Phaseolibacter_flectens_ATCC_12775	1
Franconibacter_pulveris_DSM_19144	6
Sphingomonas-like_bacterium_B12	2
Anaerosphaera_aminiphila_DSM_21120	4
Corynebacterium-like_bacterium_B27	1
Actinokineospora_diospyrosa_DSM_44255	4
Trichococcus_flocculiformis_DSM_2094	6
Alkalibacterium_pelagium_DSM_19183	5
Dendrosporobacter_quercicolus_DSM_1736	6
Jiangella_alba_DSM_45237	2
Williamsia_herbipolensis_ARP1	3
Genome_Sequence_of_Pseudomonas_fluorescens_UM270	0
Asanoa_hainanensis_CGMCC_4.5593	3
Cnuella_takakiae_DSM_26897	1
Mollicutes-related_endobacteria_(MRE)_phylotype_2	1
Agreia_pratensis_VKM_Ac-2510	1
Allonocardiopsis_opalescens_DSM_45601	1
Actinophytocola_oryzae_DSM_45499	3
Motilibacter_peucedani_DSM_45328	2
Labedella_gwakjiensis_DSM_21548	1
Actinokineospora_cianjurensis_DSM_45657	1
Glomeribacter_phylotype_2	2
Glomeribacter_sp._phylotype_3	2
Promicromonospora_sp._AC04	1
Pelomonas_sp._BT06	1
Promicromonospora_sp._CF082	1
Pleomorphomonas_sp._CF100	1
Promicromonospora_sp._YR516	1
Microbispora_sp._NRRL_B-24597	1
blood_disease_bacterium_A2-HR_MARDI	3
Promicromonospora_thailandica_SAI-039	3
Promicromonospora_sukumoe_SAI-064	3
Microvirgula_sp._AG722	1
Grimontella_sp._AG753	2
Mangrovibacter_plantisponsor_DSM_19579	1
Oharaeibacter_diazotrophicus_DSM_102969	2
Mesocricetibacter_intestinalis_DSM_28403	3
Samsonia_erythrinae_DSM_16730	3
Actinophytocola_xanthii_11-183	1
Actinorugispora_endophytica_DSM_46770	1
Tamaricihabitans_halophyticus_DSM_45765	1
Baia_soyae_DSM_46831	5
Cricetibacter_osteomyelitidis_DSM_28404	3
Celerinatantimonas_diazotrophica_DSM_18577	2
Corticibacter_populi_DSM_105136	1
Xylanibacterium_ulmi_DSM_16932	3
Promicromonospora_sp._SLBN-65	3
Terrabacter_sp._SLBN-196	3
Actinoallomurus_bryophytorum_DSM_102200	3
Rudaeicoccus_suwonensis_DSM_19560	2
Humibacillus_xanthopallidus_SLBN-155	2
Terrabacter_sp._3211	1
Terrabacter_sp._3264	2
Terrabacter_lapilli_3265	3
Friedmanniella_endophytica_DSM_100723	0
Flexivirga_oryzae_DSM_105369	0
Inquilinus_ginsengisoli_584	0
Allostreptomyces_psammosilenae_DSM_42178	7
Aurantimonas_endophytica_DSM_103570	1
Ammoniphilus_oxalaticus_RAOx-1	0
Pararhizobium_giardinii_SEMIA_4084	1
Notoacmeibacter_sp._M2BS9Y-3-1	2
Actinomycetospora_corticicola_DSM_45772	3
Pseudoclavibacter_sp._JAI123	1
