Cid	A	B	C	D	E	NAME	FORMULA	EXACT_MASS	MOL_WEIGHT	REMARK	PubChem	ChEBI	ChEMBL	PDB.CCD	LIPIDMAPS	LipidBank	SEQUENCE
C00002	Compounds with Biological Roles	Nucleic acids	Nucleotides 	Ribonucleotides		ATP;Adenosine 5'-triphosphate	C10H16N5O13P3	506.9957	507.181	Same as: D08646	3304	15422	CHEMBL14249	ATP			
C00002	Compounds with Biological Roles	Vitamins and Cofactors	Cofactors	Coenzymes 		ATP;Adenosine 5'-triphosphate	C10H16N5O13P3	506.9957	507.181	Same as: D08646	3304	15422	CHEMBL14249	ATP			
C00003	Compounds with Biological Roles	Vitamins and Cofactors	Cofactors	Coenzymes 		NAD+;NAD;Nicotinamide adenine dinucleotide;DPN;Diphosphopyridine nucleotide;Nadide;beta-NAD+	C21H28N7O14P2	664.1169	664.433	Same as: D00002	3305	15846	CHEMBL1234613 CHEMBL1454168	NAD NAJ			
C00006	Compounds with Biological Roles	Vitamins and Cofactors	Cofactors	Coenzymes 		NADP+;NADP;Nicotinamide adenine dinucleotide phosphate;beta-Nicotinamide adenine dinucleotide phosphate;TPN;Triphosphopyridine nucleotide;beta-NADP+	C21H29N7O17P3	744.0833	744.4129		3308	18009	CHEMBL1623886 CHEMBL295069	NAP			
C00008	Compounds with Biological Roles	Nucleic acids	Nucleotides 	Ribonucleotides		ADP;Adenosine 5'-diphosphate	C10H15N5O10P2	427.0294	427.2011	Same as: G11113	3310	16761	CHEMBL14830	ADP			
C00010	Compounds with Biological Roles	Vitamins and Cofactors	Cofactors	Coenzymes 		CoA;Coenzyme A;CoA-SH	C21H36N7O16P3S	767.1152	767.5341		3312	15346	CHEMBL1213327 CHEMBL1623949	COA			
C00015	Compounds with Biological Roles	Nucleic acids	Nucleotides 	Ribonucleotides		UDP;Uridine 5'-diphosphate	C9H14N2O12P2	404.0022	404.1612	Same as: G10619	3317	17659	CHEMBL130266	UDP			
C00016	Compounds with Biological Roles	Vitamins and Cofactors	Cofactors	Coenzymes 		FAD;Flavin adenine dinucleotide	C27H33N9O15P2	785.1571	785.5497	Same as: D00005	3318	16238	CHEMBL1232653	FAD FAE			
C00018	Compounds with Biological Roles	Vitamins and Cofactors	Cofactors	Coenzymes 		Pyridoxal phosphate;Pyridoxal 5-phosphate;Pyridoxal 5'-phosphate;PLP	C8H10NO6P	247.0246	247.1419	ATC code: A11HA06///Drug group: DG00132	3320	18405	CHEMBL82202	PLP			
C00019	Compounds with Biological Roles	Vitamins and Cofactors	Cofactors	Coenzymes 		S-Adenosyl-L-methionine;S-Adenosylmethionine;AdoMet;SAM	C15H22N6O5S	398.1372	398.4374		3321	15414 67040	CHEMBL1088977 CHEMBL224120	SAM			
C00020	Compounds with Biological Roles	Nucleic acids	Nucleotides 	Ribonucleotides		AMP;Adenosine 5'-monophosphate;Adenylic acid;Adenylate;5'-AMP;5'-Adenylic acid;5'-Adenosine monophosphate;Adenosine 5'-phosphate	C10H14N5O7P	347.0631	347.2212	Same as: D02769	3322	16027	CHEMBL752	A AMP AP7			
C00022	Compounds with Biological Roles	Organic acids	Carboxylic acids 	2-Oxocarboxylic acids		Pyruvate;Pyruvic acid;2-Oxopropanoate;2-Oxopropanoic acid;Pyroracemic acid	C3H4O3	88.016	88.0621		3324	15361 32816	CHEMBL1162144	PYR	LMFA01060077	DFA0385	
C00025	Compounds with Biological Roles	Peptides	Amino acids	Common amino acids 		L-Glutamate;L-Glutamic acid;L-Glutaminic acid;Glutamate	C5H9NO4	147.0532	147.1293	Same as: D00007	3327	16015	CHEMBL575060	GGL GLU			
C00025	Compounds with Biological Roles	Hormones and transmitters	Neurotransmitters 	Amino acids		L-Glutamate;L-Glutamic acid;L-Glutaminic acid;Glutamate	C5H9NO4	147.0532	147.1293	Same as: D00007	3327	16015	CHEMBL575060	GGL GLU			
C00026	Compounds with Biological Roles	Organic acids	Carboxylic acids 	2-Oxocarboxylic acids		2-Oxoglutarate;Oxoglutaric acid;2-Ketoglutaric acid;alpha-Ketoglutaric acid	C5H6O5	146.0215	146.0981		3328	16810 30915	CHEMBL1686	AKG			
C00029	Compounds with Biological Roles	Vitamins and Cofactors	Cofactors	Coenzymes 		UDP-glucose;UDPglucose;UDP-D-glucose;Uridine diphosphate glucose;UDP-alpha-D-glucose	C15H24N2O17P2	566.055	566.3018	Same as: G10608	3331	18066 46229	CHEMBL375951	UPG			
C00031	Compounds with Biological Roles	Carbohydrates	Monosaccharides	Aldoses 		D-Glucose;Grape sugar;Dextrose;Glucose;D-Glucopyranose	C6H12O6	180.0634	180.1559	Same as: D00009	3333	4167	CHEMBL1222250 CHEMBL1614854 CHEMBL423707 CHEMBL98182	BGC GLC			
C00032	Compounds with Biological Roles	Vitamins and Cofactors	Cofactors	Coenzymes 		Heme;Haem;Protoheme;Heme B;Protoheme IX	C34H32FeN4O4	616.1773	616.4873		3334	17627 26355 30413		HEM			
C00033	Compounds with Biological Roles	Organic acids	Carboxylic acids 	Monocarboxylic acids		Acetate;Acetic acid;Ethanoic acid	C2H4O2	60.0211	60.052	Same as: D00010	3335	15366 30089	CHEMBL539	ACT ACY	LMFA01010002	DFA0002	
C00033	Lipids	FA  Fatty acyls	FA01 Fatty Acids and Conjugates	FA0101 Straight chain fatty acids		Acetate;Acetic acid;Ethanoic acid	C2H4O2	60.0211	60.052	Same as: D00010	3335	15366 30089	CHEMBL539	ACT ACY	LMFA01010002	DFA0002	
C00035	Compounds with Biological Roles	Nucleic acids	Nucleotides 	Ribonucleotides		GDP;Guanosine 5'-diphosphate;Guanosine diphosphate	C10H15N5O11P2	443.0243	443.2005	Same as: G10620	3337	17552	CHEMBL384759	GDP			
C00036	Compounds with Biological Roles	Organic acids	Carboxylic acids 	2-Oxocarboxylic acids		Oxaloacetate;Oxalacetic acid;Oxaloacetic acid;2-Oxobutanedioic acid;2-Oxosuccinic acid;keto-Oxaloacetate	C4H4O5	132.0059	132.0716		3338	16452 30744	CHEMBL1794791	OAA			
C00037	Compounds with Biological Roles	Peptides	Amino acids	Common amino acids 		Glycine;Aminoacetic acid;Gly	C2H5NO2	75.032	75.0666	Same as: D00011	3339	15428	CHEMBL773	GLY			
C00037	Compounds with Biological Roles	Hormones and transmitters	Neurotransmitters 	Amino acids		Glycine;Aminoacetic acid;Gly	C2H5NO2	75.032	75.0666	Same as: D00011	3339	15428	CHEMBL773	GLY			
C00041	Compounds with Biological Roles	Peptides	Amino acids	Common amino acids 		L-Alanine;L-2-Aminopropionic acid;L-alpha-Alanine	C3H7NO2	89.0477	89.0932	Same as: D00012	3343	16977	CHEMBL279597	ALA			
C00042	Compounds with Biological Roles	Organic acids	Carboxylic acids 	Dicarboxylic acids		Succinate;Succinic acid;Butanedionic acid;Ethylenesuccinic acid	C4H6O4	118.0266	118.088		3344	15741	CHEMBL576	SIN	LMFA01170043		
C00044	Compounds with Biological Roles	Nucleic acids	Nucleotides 	Ribonucleotides		GTP;Guanosine 5'-triphosphate	C10H16N5O14P3	522.9907	523.1804		3346	15996	CHEMBL1233147	GTP			
C00047	Compounds with Biological Roles	Peptides	Amino acids	Common amino acids 		L-Lysine;Lysine acid;2,6-Diaminohexanoic acid	C6H14N2O2	146.1055	146.1876	Same as: D02304	3349	18019	CHEMBL8085	LYS			
C00048	Compounds with Biological Roles	Organic acids	Carboxylic acids 	2-Oxocarboxylic acids		Glyoxylate;Glyoxalate;Glyoxylic acid	C2H2O3	74.0004	74.0355		3350	16891	CHEMBL1162545	GLV			
C00049	Compounds with Biological Roles	Peptides	Amino acids	Common amino acids 		L-Aspartate;L-Aspartic acid;2-Aminosuccinic acid;L-Asp	C4H7NO4	133.0375	133.1027	Same as: D00013	3351	17053	CHEMBL274323	ASP IAS			
C00049	Compounds with Biological Roles	Hormones and transmitters	Neurotransmitters 	Amino acids		L-Aspartate;L-Aspartic acid;2-Aminosuccinic acid;L-Asp	C4H7NO4	133.0375	133.1027	Same as: D00013	3351	17053	CHEMBL274323	ASP IAS			
C00051	Compounds with Biological Roles	Vitamins and Cofactors	Cofactors	Coenzymes 		Glutathione;5-L-Glutamyl-L-cysteinylglycine;N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine;gamma-L-Glutamyl-L-cysteinyl-glycine;GSH;Reduced glutathione	C10H17N3O6S	307.0838	307.3235	Same as: D00014	3353	16856	CHEMBL1514919 CHEMBL1543	GSH			
C00053	Compounds with Biological Roles	Vitamins and Cofactors	Cofactors	Coenzymes 		3'-Phosphoadenylyl sulfate;3'-Phosphoadenosine 5'-phosphosulfate;3'-Phospho-5'-adenylyl sulfate;PAPS	C10H15N5O13P2S	506.9862	507.2643		3355	17980		PPS			
C00055	Compounds with Biological Roles	Nucleic acids	Nucleotides 	Ribonucleotides		CMP;Cytidine-5'-monophosphate;Cytidylic acid	C9H14N3O8P	323.0519	323.1965	Same as: G10621	3357	17361	CHEMBL307679	C C5P			
C00058	Compounds with Biological Roles	Organic acids	Carboxylic acids 	Monocarboxylic acids		Formate;Methanoic acid;Formic acid	CH2O2	46.0055	46.0254		3358	15740 30751	CHEMBL116736	FMT		DFA0001	
C00058	Lipids	FA  Fatty acyls	FA01 Fatty Acids and Conjugates	FA0101 Straight chain fatty acids		Formate;Methanoic acid;Formic acid	CH2O2	46.0055	46.0254		3358	15740 30751	CHEMBL116736	FMT		DFA0001	
C00061	Compounds with Biological Roles	Vitamins and Cofactors	Cofactors	Coenzymes 		FMN;Riboflavin-5-phosphate;Flavin mononucleotide	C17H21N4O9P	456.1046	456.3438		3361	17621	CHEMBL1201794	FMN			
C00062	Compounds with Biological Roles	Peptides	Amino acids	Common amino acids 		L-Arginine;(S)-2-Amino-5-guanidinovaleric acid;L-Arg	C6H14N4O2	174.1117	174.201	Same as: D02982	3362	16467	CHEMBL1485	ARG GND			
C00063	Compounds with Biological Roles	Nucleic acids	Nucleotides 	Ribonucleotides		CTP;Cytidine 5'-triphosphate;Cytidine triphosphate	C9H16N3O14P3	482.9845	483.1563		3363	17677	CHEMBL223533	CTP			
C00063	Compounds with Biological Roles	Vitamins and Cofactors	Cofactors	Coenzymes 		CTP;Cytidine 5'-triphosphate;Cytidine triphosphate	C9H16N3O14P3	482.9845	483.1563		3363	17677	CHEMBL223533	CTP			
C00064	Compounds with Biological Roles	Peptides	Amino acids	Common amino acids 		L-Glutamine;L-2-Aminoglutaramic acid	C5H10N2O3	146.0691	146.1445	Same as: D00015	3364	18050	CHEMBL930	GLN			
C00065	Compounds with Biological Roles	Peptides	Amino acids	Common amino acids 		L-Serine;L-2-Amino-3-hydroxypropionic acid;L-3-Hydroxy-alanine;Serine	C3H7NO3	105.0426	105.0926	Same as: D00016	3365	17115	CHEMBL11298	SER			
C00067	Carcinogens	Group 1: Carcinogenic to humans	Compounds	C00067  Formaldehyde	Nasopharynx, leukaemia and/or lymphoma	Formaldehyde;Methanal;Oxomethane;Oxomethylene;Methylene oxide;Formalin	CH2O	30.0106	30.026	Same as: D00017	3367	16842	CHEMBL1255	FOR			
C00068	Compounds with Biological Roles	Vitamins and Cofactors	Cofactors	Coenzymes 		Thiamin diphosphate;Thiamine diphosphate;Thiamin pyrophosphate;TPP;ThPP	C12H19N4O7P2S	425.045	425.3144		3368	9532	CHEMBL1236235 CHEMBL1236376	TDP TPP			
C00072	Compounds with Biological Roles	Vitamins and Cofactors	Vitamins	Water-soluble vitamins 		Ascorbate;Ascorbic acid;L-Ascorbate;L-Ascorbic acid;Vitamin C	C6H8O6	176.0321	176.1241	Same as: D00018	3372	29073 38290	CHEMBL196	ASC			
C00073	Compounds with Biological Roles	Peptides	Amino acids	Common amino acids 		L-Methionine;Methionine;L-2-Amino-4methylthiobutyric acid	C5H11NO2S	149.051	149.2113	Same as: D00019	3373	16643	CHEMBL42336	MET			
C00075	Compounds with Biological Roles	Nucleic acids	Nucleotides 	Ribonucleotides		UTP;Uridine 5'-triphosphate;Uridine triphosphate	C9H15N2O15P3	483.9685	484.1411		3375	15713	CHEMBL336296	UTP			
C00077	Compounds with Biological Roles	Peptides	Amino acids	Other amino acids 		L-Ornithine;(S)-2,5-Diaminovaleric acid;(S)-2,5-Diaminopentanoic acid;(S)-2,5-Diaminopentanoate	C5H12N2O2	132.0899	132.161	Same as: D08302	3377	15729	CHEMBL446143	ORN			
C00078	Compounds with Biological Roles	Peptides	Amino acids	Common amino acids 		L-Tryptophan;Tryptophan;(S)-alpha-Amino-beta-(3-indolyl)-propionic acid	C11H12N2O2	204.0899	204.2252	Same as: D00020	3378	16828	CHEMBL54976	TRP			
C00079	Compounds with Biological Roles	Peptides	Amino acids	Common amino acids 		L-Phenylalanine;(S)-alpha-Amino-beta-phenylpropionic acid	C9H11NO2	165.079	165.1891	Same as: D00021	3379	17295	CHEMBL301523	PHE			
C00082	Compounds with Biological Roles	Peptides	Amino acids	Common amino acids 		L-Tyrosine;(S)-3-(p-Hydroxyphenyl)alanine;(S)-2-Amino-3-(p-hydroxyphenyl)propionic acid;Tyrosine	C9H11NO3	181.0739	181.1885	Same as: D00022	3382	17895	CHEMBL925	TYR			
