	Type	Common-Name
PWY-5989	Stearate-Biosynthesis	stearate biosynthesis II (bacteria and plants)
PWY-5972	Stearate-Biosynthesis	stearate biosynthesis I (animals and fungi)
PWY-7803	tRNA-Splicing	tRNA splicing II
PWY0-901	Selenocysteine-Biosynthesis	L-selenocysteine biosynthesis I (bacteria)
PWY-6281	Selenocysteine-Biosynthesis	L-selenocysteine biosynthesis II (archaea and eukaryotes)
PWY-6944	Steroids-Degradation	androstenedione degradation
PWY-5488	p-Nitrophenol-Degradation	4-nitrophenol degradation II
PWY-6943	Steroids-Degradation	testosterone and androsterone degradation to androstendione
PWY-6937	Super-Pathways	superpathway of testosterone and androsterone degradation
PWY-5487	p-Nitrophenol-Degradation	4-nitrophenol degradation I
PWY-6948	Steroids-Degradation	sitosterol degradation to androstenedione
PWY-7754	Bile-Acids-Degradation	bile acids degradation
PWY-5636	o-Nitrophenol-Degradation	2-nitrophenol degradation
PWY-6518	Bile-Acids-Degradation	glycocholate metabolism (bacteria)
PWY-6456	Polyamine-Biosynthesis	serinol biosynthesis
ARG+POLYAMINE-SYN	Super-Pathways	superpathway of arginine and polyamine biosynthesis
P101-PWY	Polyamine-Biosynthesis	ectoine biosynthesis
PWY-4121	Reductants	glutathionylspermidine biosynthesis
PWY-6173	Polyamine-Biosynthesis	histamine biosynthesis
PWY-6565	Super-Pathways	superpathway of polyamine biosynthesis III
POLYAMSYN-PWY	Super-Pathways	superpathway of polyamine biosynthesis I
PWY-6562	Polyamine-Biosynthesis	norspermidine biosynthesis
PWY0-1303	Polyamine-Biosynthesis	aminopropylcadaverine biosynthesis
ARGSPECAT-PWY	Polyamine-Biosynthesis	spermine biosynthesis
POLYAMINSYN3-PWY	Super-Pathways	superpathway of polyamine biosynthesis II
PWY-7391	ISOPRENOIDS	isoprene biosynthesis II (engineered)
PWY-3722	Betaine-Biosynthesis	glycine betaine biosynthesis II (Gram-positive bacteria)
PWY-6675	Sulfur-Oxidation	sulfur oxidation IV (intracellular sulfur)
P541-PWY	Betaine-Biosynthesis	glycine betaine biosynthesis IV (from glycine)
PWY-7756	Iso-bile-Acids-Biosynthesis	iso-bile acids biosynthesis II
PWY-6004	Betaine-Biosynthesis	glycine betaine biosynthesis V (from glycine)
PWY-7755	Iso-bile-Acids-Biosynthesis	iso-bile acids biosynthesis I
BETSYN-PWY	Betaine-Biosynthesis	glycine betaine biosynthesis I (Gram-negative bacteria)
PWY-5304	Super-Pathways	superpathway of sulfur oxidation (<i>Acidianus ambivalens</i>)
PWY-5278	Sulfite-Oxidation	sulfite oxidation III
PWY-5279	Sulfite-Oxidation	sulfite oxidation II
PWY-6895	Thiamine-Biosynthesis	superpathway of thiamine diphosphate biosynthesis II
PWY-5481	Pyruvate-Lactate-Fermentation	pyruvate fermentation to (<i>S</i>)-lactate
THISYN-PWY	Thiamine-Biosynthesis	superpathway of thiamine diphosphate biosynthesis I
PWY-7369	Thiamine-Biosynthesis	thiamine triphosphate metabolism
PWY-6890	HMP-PP-Biosynthesis	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis
PWY-6579	Super-Pathways	superpathway of guanine and guanosine salvage
PWY-6620	Guanine-Guanosine-Salvage	guanine and guanosine salvage
PWY-6618	Guanine-Guanosine-Salvage	guanine and guanosine salvage III
PWY-6599	Guanine-Guanosine-Salvage	guanine and guanosine salvage II
PWY-7932	Halogenated-Aromatics-Biosynthesis	polybrominated biphenyls and diphenyl ethers biosynthesis
PWY-7935	Halogenated-Aromatics-Biosynthesis	spongiadioxin C biosynthesis
PWY-7931	Halogenated-Aromatics-Biosynthesis	brominated pyrroles biosynthesis
PWY-7934	Halogenated-Aromatics-Biosynthesis	polybrominated dihydroxylated diphenyl ethers biosynthesis
PWY-7930	Halogenated-Aromatics-Biosynthesis	pyoluteorin biosynthesis
PWY-7933	Super-Pathways	superpathway of polybrominated aromatic compound biosynthesis
PWY-7929	Halogenated-Aromatics-Biosynthesis	polybrominated phenols biosynthesis
PWY-6412	Ginsenoside-Degradation	ginsenoside degradation II
NOPALINEDEG-PWY	N-CONTAINING-SECONDARY-CMPD-DEG	nopaline degradation
OCTOPINEDEG-PWY	N-CONTAINING-SECONDARY-CMPD-DEG	octopine degradation
PWY18C3-5	ALKALOIDS	&alpha;-tomatine degradation
PWY-6999	ALKALOIDS	theophylline degradation
PWY-3181	TRYPTOPHAN-DEG	L-tryptophan degradation VI (via tryptamine)
P184-PWY	Protocatechuate-Degradation	protocatechuate degradation I (<I>meta</I>-cleavage pathway)
PWY-6973	dTDP-Sugar-Biosynthesis	dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis
PWY-6336	Protocatechuate-Degradation	protocatechuate degradation III (<I>para</I>-cleavage pathway)
PWY-7688	dTDP-Sugar-Biosynthesis	dTDP-D-ravidosamine and dTDP-4-acetyl-D-ravidosamine biosynthesis
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	Protocatechuate-Degradation	protocatechuate degradation II (ortho-cleavage pathway)
PWY-7104	dTDP-Sugar-Biosynthesis	dTDP-L-megosamine biosynthesis
PWY-7315	dTDP-Sugar-Biosynthesis	dTDP-<i>N</i>-acetylthomosamine biosynthesis
PWY-7318	dTDP-Sugar-Biosynthesis	dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis
PWY-6923	ALKALOIDS-SYN	ricinine degradation
PWY-6953	dTDP-Sugar-Biosynthesis	dTDP-3-acetamido-&alpha;-D-fucose biosynthesis
PWY-7657	dTDP-Sugar-Biosynthesis	dTDP-&beta;-L-digitoxose biosynthesis
PWY-6976	dTDP-Sugar-Biosynthesis	dTDP-L-mycarose biosynthesis
PWY-7312	dTDP-Sugar-Biosynthesis	dTDP-D-&beta;-fucofuranose biosynthesis
PWY-7976	Sulfur-reduction	sulfur reduction III
PWY-7414	dTDP-Sugar-Biosynthesis	dTDP-&alpha;-D-mycaminose biosynthesis
PWY-5364	Sulfur-reduction	sulfur reduction II (via polysulfide)
PWY-7738	Glycolipids-Biosynthesis	polyacyltrehalose biosynthesis
PWY1G-126	Reductants	mycothiol oxidation
PWY-7902	Glycolipids-Biosynthesis	glucosylglycerol biosynthesis
PWY-5332	Sulfur-reduction	sulfur reduction I
GLUTATHIONESYN-PWY	Reductants	glutathione biosynthesis
PWY-7684	Glycolipids-Biosynthesis	&alpha;-diglucosyldiacylglycerol biosynthesis
PWY-6942	dTDP-Sugar-Biosynthesis	dTDP-D-desosamine biosynthesis
PWY-7885	Glycolipids-Biosynthesis	phosphatidylinositol mannoside biosynthesis
PWY1G-0	Reductants	mycothiol biosynthesis
PWY-7666	Glycolipids-Biosynthesis	galactolipid biosynthesis II
PWY-7440	dTDP-Sugar-Biosynthesis	dTDP-&beta;-L-4-<i>epi</i>-vancosamine biosynthesis
THIOREDOX-PWY	Reductants	thioredoxin pathway
PWY-6974	dTDP-Sugar-Biosynthesis	dTDP-L-olivose biosynthesis
PWY-7814	dTDP-Sugar-Biosynthesis	dTDP-L-daunosamine biosynthesis
PWY-7301	dTDP-Sugar-Biosynthesis	dTDP-4-<i>O</i>-demethyl-&beta;-L-noviose biosynthesis
GLUT-REDOX-PWY	Reductants	glutathione-glutaredoxin redox reactions
PWY-7316	dTDP-Sugar-Biosynthesis	dTDP-<i>N</i>-acetylviosamine biosynthesis
PWY-4081	Reductants	glutathione-peroxide redox reactions
PWY-7413	dTDP-Sugar-Biosynthesis	dTDP-6-deoxy-&alpha;-D-allose biosynthesis
DTDPRHAMSYN-PWY	dTDP-Sugar-Biosynthesis	dTDP-L-rhamnose biosynthesis
PWY8J2-1	Reductants	bacillithiol biosynthesis
PWY-7439	dTDP-Sugar-Biosynthesis	dTDP-&beta;-L-evernitrose biosynthesis
PWY-4181	Reductants	glutathione amide metabolism
PWY-6640	Salicylate-Degradation	salicylate degradation IV
PWY-6183	Salicylate-Degradation	salicylate degradation I
PWY-6224	Salicylate-Degradation	salicylate degradation II
CYCLOHEXANOL-OXIDATION-PWY	Alcohol-Degradation	cyclohexanol degradation
