PFAM_ACC	PFAM_Name	PFAM_desc
pfam04851	ResIII	Type III restriction enzyme, res subunit
pfam16203	ERCC3_RAD25_C	ERCC3/RAD25/XPB C-terminal helicase
pfam06733	DEAD_2	DEAD_2
pfam06777	HBB	Helical and beta-bridge domain
pfam13307	Helicase_C_2	Helicase C-terminal domain
pfam04056	Ssl1	Ssl1-like
pfam03850	Tfb4	Transcription factor Tfb4
pfam06331	Tfb5	Transcription factor TFIIH complex subunit Tfb5
pfam13416	SBP_bac_8	Bacterial extracellular solute-binding protein
pfam00619	CARD	Caspase recruitment domain
pfam13847	Methyltransf_31	Methyltransferase domain
pfam02540	NAD_synthase	NAD synthase
pfam05686	Glyco_transf_90	Glycosyl transferase family 90
pfam00008	EGF	EGF-like domain
pfam00457	Glyco_hydro_11	Glycosyl hydrolases family 11
pfam00001	7tm_1	7 transmembrane receptor (rhodopsin family)
pfam07361	Cytochrom_B562	Cytochrome b562
pfam03151	TPT	Triose-phosphate Transporter family
pfam00765	Autoind_synth	Autoinducer synthase
pfam01596	Methyltransf_3	O-methyltransferase
pfam00071	Ras	Ras family
pfam01601	Corona_S2	Coronavirus S2 glycoprotein
pfam07686	V-set	Immunoglobulin V-set domain
pfam02736	Myosin_N	Myosin N-terminal SH3-like domain
pfam00063	Myosin_head	Myosin head (motor domain)
pfam16338	DUF4968	Domain of unknown function (DUF4968)
pfam13802	Gal_mutarotas_2	Galactose mutarotase-like
pfam01055	Glyco_hydro_31	Glycosyl hydrolases family 31
pfam17137	DUF5110	Domain of unknown function (DUF5110)
pfam10778	DehI	Halocarboxylic acid dehydrogenase DehI
pfam03448	MgtE_N	MgtE intracellular N domain
pfam00571	CBS	CBS domain
pfam01769	MgtE	Divalent cation transporter
pfam00171	Aldedh	Aldehyde dehydrogenase family
pfam06690	DUF1188	Protein of unknown function (DUF1188)
pfam02518	HATPase_c	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
pfam00183	HSP90	Hsp90 protein
pfam09174	Maf1	Maf1 regulator
pfam00244	14-3-3	14-3-3 protein
pfam03668	ATP_bind_2	P-loop ATPase protein family
pfam01817	CM_2	Chorismate mutase type II
pfam01168	Ala_racemase_N	Alanine racemase, N-terminal domain
pfam04940	BLUF	Sensors of blue-light using FAD
pfam00211	Guanylate_cyc	Adenylate and Guanylate cyclase catalytic domain
pfam00373	FERM_M	FERM central domain
pfam00497	SBP_bac_3	Bacterial extracellular solute-binding proteins, family 3
pfam00096	zf-C2H2	Zinc finger, C2H2 type
pfam00170	bZIP_1	bZIP transcription factor
pfam13577	SnoaL_4	SnoaL-like domain
pfam00869	Flavi_glycoprot	Flavivirus glycoprotein, central and dimerisation domains
pfam02832	Flavi_glycop_C	Flavivirus glycoprotein, immunoglobulin-like domain
pfam00439	Bromodomain	Bromodomain
pfam01417	ENTH	ENTH domain
pfam07714	Pkinase_Tyr	Protein tyrosine kinase
pfam00561	Abhydrolase_1	alpha/beta hydrolase fold
pfam02898	NO_synthase	Nitric oxide synthase, oxygenase domain
pfam12026	DUF3513	Domain of unknown function (DUF3513)
pfam00061	Lipocalin	Lipocalin / cytosolic fatty-acid binding protein family
pfam04348	LppC	LppC putative lipoprotein
pfam02819	Toxin_9	Spider toxin
pfam13857	Ank_5	Ankyrin repeats (many copies)
pfam12796	Ank_2	Ankyrin repeats (3 copies)
pfam13637	Ank_4	Ankyrin repeats (many copies)
pfam01193	RNA_pol_L	RNA polymerase Rpb3/Rpb11 dimerisation domain
pfam01000	RNA_pol_A_bac	RNA polymerase Rpb3/RpoA insert domain
pfam04563	RNA_pol_Rpb2_1	RNA polymerase beta subunit
pfam04561	RNA_pol_Rpb2_2	RNA polymerase Rpb2, domain 2
pfam04565	RNA_pol_Rpb2_3	RNA polymerase Rpb2, domain 3
pfam10385	RNA_pol_Rpb2_45	RNA polymerase beta subunit external 1 domain
pfam00562	RNA_pol_Rpb2_6	RNA polymerase Rpb2, domain 6
pfam04560	RNA_pol_Rpb2_7	RNA polymerase Rpb2, domain 7
pfam04997	RNA_pol_Rpb1_1	RNA polymerase Rpb1, domain 1
pfam00623	RNA_pol_Rpb1_2	RNA polymerase Rpb1, domain 2
pfam04983	RNA_pol_Rpb1_3	RNA polymerase Rpb1, domain 3
pfam05000	RNA_pol_Rpb1_4	RNA polymerase Rpb1, domain 4
pfam04998	RNA_pol_Rpb1_5	RNA polymerase Rpb1, domain 5
pfam01192	RNA_pol_Rpb6	RNA polymerase Rpb6
pfam00089	Trypsin	Trypsin
pfam00148	Oxidored_nitro	Nitrogenase component 1 type Oxidoreductase
pfam11844	DUF3364	Domain of unknown function (DUF3364)
pfam07992	Pyr_redox_2	Pyridine nucleotide-disulphide oxidoreductase
pfam13187	Fer4_9	4Fe-4S dicluster domain
pfam02754	CCG	Cysteine-rich domain
pfam13183	Fer4_8	4Fe-4S dicluster domain
pfam02662	FlpD	Methyl-viologen-reducing hydrogenase, delta subunit
pfam01058	Oxidored_q6	NADH ubiquinone oxidoreductase, 20 Kd subunit
pfam00374	NiFeSe_Hases	Nickel-dependent hydrogenase
pfam01674	Lipase_2	Lipase (class 2)
pfam00258	Flavodoxin_1	Flavodoxin
pfam01299	Lamp	Lysosome-associated membrane glycoprotein (Lamp)
pfam00049	Insulin	Insulin/IGF/Relaxin family
pfam00233	PDEase_I	3'5'-cyclic nucleotide phosphodiesterase
pfam02259	FAT	FAT domain
pfam00454	PI3_PI4_kinase	Phosphatidylinositol 3- and 4-kinase
pfam00520	Ion_trans	Ion transport protein
pfam07740	Toxin_12	Ion channel inhibitory toxin
pfam00194	Carb_anhydrase	Eukaryotic-type carbonic anhydrase
pfam13840	ACT_7	ACT domain
pfam01867	Cas_Cas1	CRISPR associated protein Cas1
pfam09707	Cas_Cas2CT1978	CRISPR-associated protein (Cas_Cas2CT1978)
pfam00753	Lactamase_B	Metallo-beta-lactamase superfamily
pfam02837	Glyco_hydro_2_N	Glycosyl hydrolases family 2, sugar binding domain
pfam00703	Glyco_hydro_2	Glycosyl hydrolases family 2
pfam02836	Glyco_hydro_2_C	Glycosyl hydrolases family 2, TIM barrel domain
pfam16355	DUF4982	Domain of unknown function (DUF4982)
pfam07654	C1-set	Immunoglobulin C1-set domain
pfam00129	MHC_I	Class I Histocompatibility antigen, domains alpha 1 and 2
pfam01063	Aminotran_4	Amino-transferase class IV
pfam00210	Ferritin	Ferritin-like domain
pfam00389	2-Hacid_dh	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
pfam02826	2-Hacid_dh_C	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
pfam05922	Inhibitor_I9	Peptidase inhibitor I9
pfam00082	Peptidase_S8	Subtilase family
pfam00069	Pkinase	Protein kinase domain
pfam00034	Cytochrom_C	Cytochrome c
pfam01447	Peptidase_M4	Thermolysin metallopeptidase, catalytic domain
pfam02868	Peptidase_M4_C	Thermolysin metallopeptidase, alpha-helical domain
pfam01336	tRNA_anti-codon	OB-fold nucleic acid binding domain
pfam00152	tRNA-synt_2	tRNA synthetases class II (D, K and N)
pfam00316	FBPase	Fructose-1-6-bisphosphatase, N-terminal domain
pfam00294	PfkB	pfkB family carbohydrate kinase
pfam07700	HNOB	Haem-NO-binding
pfam00004	AAA	ATPase family associated with various cellular activities (AAA)
pfam01399	PCI	PCI domain
pfam10602	RPN7	26S proteasome subunit RPN7
pfam01398	JAB	JAB1/Mov34/MPN/PAD-1 ubiquitin protease
pfam13012	MitMem_reg	Maintenance of mitochondrial structure and function
pfam13519	VWA_2	von Willebrand factor type A domain
pfam10075	CSN8_PSD8_EIF3K	CSN8/PSMD8/EIF3K family
pfam05160	DSS1_SEM1	DSS1/SEM1 family
pfam01851	PC_rep	Proteasome/cyclosome repeat
pfam13646	HEAT_2	HEAT repeats
pfam08375	Rpn3_C	Proteasome regulatory subunit C-terminal
pfam05214	Baculo_p33	Baculovirus P33
pfam00341	PDGF	PDGF/VEGF domain
pfam08761	dUTPase_2	dUTPase
pfam00514	Arm	Armadillo/beta-catenin-like repeat
pfam13469	Sulfotransfer_3	Sulfotransferase family
pfam16990	CBM_35	Carbohydrate binding module (family 35)
pfam02275	CBAH	Linear amide C-N hydrolases, choloylglycine hydrolase family
pfam01033	Somatomedin_B	Somatomedin B domain
pfam01663	Phosphodiest	Type I phosphodiesterase / nucleotide pyrophosphatase
pfam01223	Endonuclease_NS	DNA/RNA non-specific endonuclease
pfam00576	Transthyretin	HIUase/Transthyretin family
pfam00639	Rotamase	PPIC-type PPIASE domain
pfam00331	Glyco_hydro_10	Glycosyl hydrolase family 10
pfam00652	Ricin_B_lectin	Ricin-type beta-trefoil lectin domain
pfam00018	SH3_1	SH3 domain
pfam00019	TGF_beta	Transforming growth factor beta like domain
pfam02351	GDNF	GDNF/GAS1 domain
pfam02931	Neur_chan_LBD	Neurotransmitter-gated ion-channel ligand binding domain
pfam02932	Neur_chan_memb	Neurotransmitter-gated ion-channel transmembrane region
pfam00615	RGS	Regulator of G protein signaling domain
pfam00202	Aminotran_3	Aminotransferase class-III
pfam00724	Oxidored_FMN	NADH:flavin oxidoreductase / NADH oxidase family
pfam00091	Tubulin	Tubulin/FtsZ family, GTPase domain
pfam03953	Tubulin_C	Tubulin C-terminal domain
pfam00836	Stathmin	Stathmin family
pfam03133	TTL	Tubulin-tyrosine ligase family
pfam13895	Ig_2	Immunoglobulin domain
pfam01381	HTH_3	Helix-turn-helix
pfam07883	Cupin_2	Cupin domain
pfam00023	Ank	Ankyrin repeat
pfam00481	PP2C	Protein phosphatase 2C
pfam10604	Polyketide_cyc2	Polyketide cyclase / dehydrase and lipid transport
pfam07388	A-2_8-polyST	Alpha-2,8-polysialyltransferase (POLYST)
pfam01094	ANF_receptor	Receptor family ligand binding region
pfam10613	Lig_chan-Glu_bd	Ligated ion channel L-glutamate- and glycine-binding site
pfam00060	Lig_chan	Ligand-gated ion channel
pfam07803	GSG-1	GSG1-like protein
pfam00469	F-protein	Negative factor, (F-Protein) or Nef
pfam01194	RNA_pol_N	RNA polymerases N / 8 kDa subunit
pfam13656	RNA_pol_L_2	RNA polymerase Rpb3/Rpb11 dimerisation domain
pfam03604	DNA_RNApol_7kD	DNA directed RNA polymerase, 7 kDa subunit
pfam06870	RNA_pol_I_A49	A49-like RNA polymerase I associated factor
pfam08208	RNA_polI_A34	DNA-directed RNA polymerase I subunit RPA34.5
pfam10214	Rrn6	RNA polymerase I-specific transcription-initiation factor
pfam11781	zf-RRN7	Zinc-finger of RNA-polymerase I-specific TFIIB, Rrn7
pfam04090	RNA_pol_I_TF	RNA polymerase I specific initiation factor
pfam06883	RNA_pol_Rpa2_4	RNA polymerase I, Rpa2 specific domain
pfam08203	RNA_polI_A14	Yeast RNA polymerase I subunit RPA14
pfam03871	RNA_pol_Rpb5_N	RNA polymerase Rpb5, N-terminal domain
pfam01191	RNA_pol_Rpb5_C	RNA polymerase Rpb5, C-terminal domain
pfam03876	SHS2_Rpb7-N	SHS2 domain found in N terminus of Rpb7p/Rpc25p/MJ0397
pfam03870	RNA_pol_Rpb8	RNA polymerase Rpb8
pfam02150	RNA_POL_M_15KD	RNA polymerases M/15 Kd subunit
pfam00509	Hemagglutinin	Haemagglutinin
pfam00180	Iso_dh	Isocitrate/isopropylmalate dehydrogenase
pfam02852	Pyr_redox_dim	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
pfam16497	MHC_I_3	MHC-I family domain
pfam02807	ATP-gua_PtransN	ATP:guanido phosphotransferase, N-terminal domain
pfam00217	ATP-gua_Ptrans	ATP:guanido phosphotransferase, C-terminal catalytic domain
pfam00067	p450	Cytochrome P450
pfam00486	Trans_reg_C	Transcriptional regulatory protein, C terminal
pfam01512	Complex1_51K	Respiratory-chain NADH dehydrogenase 51 Kd subunit
pfam10531	SLBB	SLBB domain
pfam10589	NADH_4Fe-4S	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region
pfam15880	NDUFV3	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial
pfam04800	ETC_C1_NDUFA4	ETC complex I subunit conserved region
pfam13510	Fer2_4	2Fe-2S iron-sulfur cluster binding domain
