	copy_number
Komagataeibacter_europaeus	4.5
Komagataeibacter_xylinus	4.6
Acholeplasma_axanthum	2
Acholeplasma_granularum	2
Acinetobacter_sp.	7
Acinetobacter_baylyi	7
Acinetobacter_calcoaceticus	6
Acinetobacter_junii	6
Acinetobacter_lwoffii	6.75
Acinetobacter_radioresistens	6.6
Acinetobacter_schindleri	6.86
Acinetobacter_tandoii	6.5
Acinetobacter_tjernbergiae	6
Acinetobacter_towneri	6.75
Dolichospermum_flos-aquae	5
Anabaenopsis_sp._PCC_9215	4
Anabaenopsis_elenkinii	4
Aphanizomenon_flos-aquae	5
Aquifex_pyrophilus	6
Bacteroides_eggerthii	4
Bacteroides_ovatus	5
Bacteroides_thetaiotaomicron	5.25
Bacteroides_uniformis	4
Parabacteroides_distasonis	7
Bifidobacterium_breve	2.52
Borreliella_burgdorferi	1
Borrelia_anserina	1
Borrelia_hermsii	1
Brachyspira_hyodysenteriae	1
Bradyrhizobium_japonicum	1.71
Bradyrhizobium_sp.	1
Bradyrhizobium_sp._ANU289	1
Burkholderia_cepacia	5.6
Campylobacter_coli	2.82
Campylobacter_helveticus	2.82
Campylobacter_jejuni	2.23
Cyanospira_rippkae	4
Cyanospira_capsulata	4
Haloarcula_marismortui	2.67
Halosimplex_carlsbadense	2
Helicobacter_pylori	1.95
Natrinema_sp._XA3-1	4
Leptonema_illini	2
Leptospira_biflexa	2
Leptospira_sp._Akiyami_C	2
Leptospira_interrogans	2
Mycobacterium_lepraemurium	1
Nodularia_spumigena	4
Blastopirellula_marina	2
Sinorhizobium_fredii	3
Rhizobium_leguminosarum	3
Sinorhizobium_meliloti	3
Spirochaeta_aurantia	2.5
Spiroplasma_apis	1.5
Spiroplasma_monobiae	1
Spiroplasma_melliferum	1
Terriglobus_roseus	2
Terriglobus_sp._TAA_43	1
Terriglobus_sp._TAA_48	1
Thermostaphylospora_chromogena	6
Treponema_phagedenis	2
Mycoplasma_arginini	2
Mycoplasma_orale	1
Campylobacter_fetus	3
Rhodococcus_fascians	4.2
Escherichia_coli	7
[Clostridium]_paradoxum	15
Streptococcus_agalactiae	6.91
Clostridium_perfringens	9.79
Corynebacterium_glutamicum	5.93
Desulfurella_acetivorans	2
Desulfurella_multipotens	2
Frankia_sp.	2
Lactiplantibacillus_plantarum	4.93
Lactococcus_lactis	5.94
Mycobacterium_leprae	1
Mycoplasma_capricolum	2
Mycoplasma_mycoides	2
Mycolicibacterium_smegmatis	2
Mycolicibacterium_phlei	2
Mycobacterium_intracellulare	1
Candidatus_Phytoplasma_australiense	2
Pseudomonas_stutzeri	4.16
Pseudomonas_balearica	4
Streptococcus_thermophilus	5.67
Streptomyces_griseus	6
Streptomyces_nodosus	6
Haloarcula_californiae	4
Haloferax_gibbonsii	2.67
Halobacterium_salinarum	1.4
Halococcus_morrhuae	2
Vibrio_natriegens	12
Thermoplasma_acidophilum	1
Thermoproteus_tenax	1
Actinomyces_naeslundii	3
Halobacterium_sp._GRB	1
Borreliella_garinii	1
Borreliella_afzelii	1
Vibrio_cholerae	9.02
Streptococcus_pneumoniae	3.79
Bacillus_cereus	13.69
Bacillus_thuringiensis	13.39
Bacillus_mycoides	12.5
Desulfurococcus_mucosus	1
Sulfolobus_sp.	1
Wolbachia_pipientis	1
Agrobacterium_tumefaciens	4.22
Methylophilales_bacterium_HTCC2181	1
Lactobacillus_panis	5
Lactobacillus_gallinarum	4
Acidobacteriaceae_bacterium_KBS_83	1
Bryobacterales_bacterium_KBS_96	2
Wolbachia_endosymbiont_of_Culex_quinquefasciatus	1
Acidithiobacillus_caldus	2
Pseudomonas_fluorescens	5.16
Treponema_primitia	2
Komagataeibacter_hansenii	3.5
Kamptonema_sp._PCC_6506	1
Salipiger_bermudensis	4
Maritimibacter_alkaliphilus	1
Clostridium_carboxidivorans	7
Stenoxybacter_acetivorans	4
Lactobacillus_coryniformis	4
Bacillus_subtilis	9.7
Chlamydia_trachomatis	2.03
Chthoniobacter_flavus	1
Alkalihalobacillus_pseudofirmus	7
Methanococcus_voltae	2
Corynebacterium_jeikeium	3.75
Ureaplasma_parvum	2
Yersinia_pestis	6.75
Chlamydia_muridarum	2
Xylella_fastidiosa	2
Pseudomonas_aeruginosa	4
Streptococcus_pyogenes	5.92
Pasteurella_multocida	5.97
Neisseria_gonorrhoeae	4
Caulobacter_vibrioides	2
Shigella_flexneri	7
Salmonella_enterica	6.98
Chlorobaculum_tepidum	2
Saccharolobus_solfataricus	1
Rickettsia_conorii	1
Methanosarcina_mazei	3
Caldanaerobacter_subterraneus	4
Zymomonas_mobilis	2.87
Brucella_melitensis	3
Xanthomonas_campestris	2
Xanthomonas_citri	1.99
Methanopyrus_kandleri	1
Chlamydia_pneumoniae	1
Pyrobaculum_aerophilum	1
Pyrococcus_furiosus	1
Methanosarcina_acetivorans	3
Buchnera_aphidicola	1
Streptococcus_mutans	5
Tropheryma_whipplei	1
Brucella_suis	3.05
Bifidobacterium_longum	3.81
Pseudomonas_putida	6.66
Porphyromonas_gingivalis	4
Chlamydia_caviae	1
Clostridium_tetani	3.67
Staphylococcus_epidermidis	5.86
Leifsonia_xyli	1
Chromobacterium_violaceum	8
[Mannheimia]_succiniciproducens	6
