	name
TIGR01705	putative 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
TIGR02008	ferredoxin [2Fe-2S]
TIGR00875	fructose-6-phosphate aldolase
TIGR03596	ribosome biogenesis GTP-binding protein YlqF
TIGR01045	Rickettsial palindromic element RPE1 domain
TIGR03862	uncharacterized flavoprotein, PP_4765 family
TIGR03332	2,3-diketo-5-methylthiopentyl-1-phosphate enolase
TIGR03441	urea transporter
TIGR00420	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
TIGR03035	arylformamidase
TIGR03391	cysteine desulfurase, sulfur acceptor subunit CsdE
TIGR02363	dihydroxyacetone kinase, DhaK subunit
TIGR02114	phosphopantothenate--cysteine ligase
TIGR01702	carbon-monoxide dehydrogenase, catalytic subunit
TIGR03708	polyphosphate:AMP phosphotransferase
TIGR02243	conserved hypothetical protein
TIGR02489	flagellar hook protein FlgE
TIGR02501	type III secretion system protein, YseE family
TIGR00915	RND transporter, hydrophobe/amphiphile efflux-1 (HAE1) family
TIGR02762	type IV conjugative transfer system protein TraL
TIGR03768	metallophosphoesterase, RPA4764 family
TIGR02830	stage III sporulation protein AG
TIGR02422	protocatechuate 3,4-dioxygenase, beta subunit
TIGR00012	ribosomal protein L29
TIGR03543	DivIVA domain repeat protein
TIGR00726	uncharacterized protein, YfiH family
TIGR02577	CRISPR-associated protein, Crm2 family
TIGR02606	putative addiction module antidote protein, CC2985 family
TIGR02633	D-xylose ABC transporter, ATP-binding protein
TIGR03344	type VI secretion system effector, Hcp1 family
TIGR03544	DivIVA domain
TIGR00537	putative methylase
TIGR03639	CRISPR-associated endonuclease Cas1, NMENI subtype
TIGR03384	transcriptional repressor BetI
TIGR00940	monovalent cation:proton antiporter
TIGR01735	phosphoribosylformylglycinamidine synthase
TIGR02963	xanthine dehydrogenase, small subunit
TIGR00280	ribosomal protein L37a
TIGR01510	pantetheine-phosphate adenylyltransferase
TIGR03505	FimV N-terminal domain
TIGR00303	conserved hypothetical protein TIGR00303
TIGR03171	Rieske iron-sulfur protein SoxL2
