#Metacyc pathway and RXN mapping file
#Pathway	RXN
PWY-5989	RXN-9633
PWY-5989	RXN-9548
PWY-5989	RXN-9632
PWY-5989	RXN-9634
PWY-5989	RXN-9635
PWY-5989	RXN-16380
PWY-5972	RXN-9623
PWY-5972	RXN-9544
PWY-5972	RXN-9543
PWY-5972	RXN-9546
PWY-5972	RXN-9545
PWY-5972	RXN-9624
PWY-7803	RXN-17942
PWY-7803	3.1.27.9-RXN
PWY0-901	2.9.1.1-RXN
PWY0-901	RXN0-2161
PWY0-901	2.7.9.3-RXN
PWY-6281	RXN-10039
PWY-6281	RXN0-2161
PWY-6281	RXN-10038
PWY-6281	2.7.9.3-RXN
PWY-6944	RXN-12735
PWY-6944	RXN-19801
PWY-6944	RXN-19796
PWY-6944	RXN-12736
PWY-6944	RXN-12714
PWY-6944	RXN-19803
PWY-6944	RXN-12715
PWY-6944	RXN-19805
PWY-6944	RXN-12751
PWY-6944	RXN-19800
PWY-6944	RXN-12750
PWY-6944	RXN-12748
PWY-6944	RXN-19798
PWY-6944	RXN-12717
PWY-6944	RXN-12734
PWY-6944	RXN-12746
PWY-6944	RXN-19804
PWY-6944	RXN-12718
PWY-6944	RXN-19797
PWY-6944	RXN-12749
PWY-6944	RXN-12691
PWY-6944	RXN-12747
PWY-6944	1.13.11.25-RXN
PWY-6944	RXN-19799
PWY-6944	RXN-19802
PWY-5488	MALEYLACETATE-REDUCTASE-RXN
PWY-5488	RXN-10137
PWY-5488	1.6.5.7-RXN
PWY-5488	RXN-9922
PWY-5488	4-NITROPHENOL-2-MONOOXYGENASE-RXN
PWY-5488	RXN-11965
PWY-6943	RXN-12124
PWY-6943	1.1.1.209-RXN
PWY-6937	RXN-12124
PWY-6937	1.1.1.51-RXN
PWY-6937	RXN-12714
PWY-5487	MALEYLACETATE-REDUCTASE-RXN
PWY-5487	RXN-8740
PWY-5487	RXN-8739
PWY-5487	1.6.5.6-RXN
PWY-5487	1.2.1.61-RXN
PWY-6948	RXN-12788
PWY-6948	RXN-12790
PWY-6948	RXN-12710
PWY-6948	RXN-12743
PWY-6948	RXN-12786
PWY-6948	RXN-12781
PWY-6948	RXN-12745
PWY-6948	RXN-12789
PWY-6948	RXN-12782
PWY-6948	RXN-12784
PWY-6948	RXN-12707
PWY-6948	RXN-12785
PWY-6948	RXN-12706
PWY-6948	RXN-12780
PWY-6948	RXN-12744
PWY-6948	RXN-12709
PWY-6948	RXN-12708
PWY-6948	RXN-12787
PWY-7754	RXN-17403
PWY-7754	3OHSTEROXRED-RXN
PWY-7754	CHOLOYLGLYCINE-HYDROLASE-RXN
PWY-7754	RXN-17398
PWY-7754	BA7DEHYDRA-RXN
PWY-7754	RXN-17388
PWY-7754	RXN-15366
PWY-7754	BAI3OXO-OXRED-RXN
PWY-7754	RXN-17406
PWY-7754	RXN-17400
PWY-7754	RXN-17399
PWY-7754	BAIAEUBSP-RXN
PWY-7754	CHOLATE--COA-LIGASE-RXN
PWY-7754	RXN-17404
PWY-7754	CHENODEOXYCHOLOYLTAURINE-HYDROLASE-RXN
PWY-7754	BADEL6OXRED-RXN
PWY-7754	RXN-17385
PWY-7754	RXN-17402
PWY-7754	BADEL4OXRED-RXN
PWY-7754	RXN-17401
PWY-6518	12-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN
PWY-6518	RXN-11472
PWY-6518	RXN-11470
PWY-6518	CHOLOYLGLYCINE-HYDROLASE-RXN
PWY-6518	7-ALPHA-HYDROXYSTEROID-DEH-RXN
PWY-6518	1.1.1.176-RXN
PWY-6518	RXN-11471
PWY-6456	RXN-11306
PWY-6456	RXN-11305
ARG+POLYAMINE-SYN	ARGDECARBOX-RXN
ARG+POLYAMINE-SYN	ARGSUCCINLYA-RXN
P101-PWY	ASPARTATEKIN-RXN
P101-PWY	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
P101-PWY	R102-RXN
P101-PWY	R101-RXN
P101-PWY	R103-RXN
POLYAMSYN-PWY	RXN0-5217
POLYAMSYN-PWY	SPERMIDINESYN-RXN
POLYAMSYN-PWY	LYSDECARBOX-RXN
POLYAMSYN-PWY	AGMATIN-RXN
POLYAMSYN-PWY	ORNDECARBOX-RXN
POLYAMSYN-PWY	SAMDECARB-RXN
PWY-6562	ASPARTATEKIN-RXN
PWY-6562	4.1.1.86-RXN
PWY-6562	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
PWY-6562	RXN-9380
PWY-6562	R101-RXN
PWY-6562	RXN-11565
PWY0-1303	RXN0-5217
PWY0-1303	LYSDECARBOX-RXN
ARGSPECAT-PWY	SPERMINE-SYNTHASE-RXN
ARGSPECAT-PWY	SAMDECARB-RXN
POLYAMINSYN3-PWY	ARGDECARBOX-RXN
POLYAMINSYN3-PWY	SPERMIDINESYN-RXN
POLYAMINSYN3-PWY	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN
POLYAMINSYN3-PWY	SPERMINE-SYNTHASE-RXN
POLYAMINSYN3-PWY	AGMATINE-DEIMINASE-RXN
POLYAMINSYN3-PWY	ORNDECARBOX-RXN
POLYAMINSYN3-PWY	SAMDECARB-RXN
PWY-7391	4.2.3.27-RXN
PWY-7391	IPPISOM-RXN
PWY-7391	PHOSPHOMEVALONATE-KINASE-RXN
PWY-7391	ACETYL-COA-ACETYLTRANSFER-RXN
PWY-7391	1.1.1.34-RXN
PWY-7391	HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN
PWY-7391	DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN
PWY-7391	MEVALONATE-KINASE-RXN
PWY-3722	BADH-RXN
PWY-3722	RXN-6021
PWY-6675	RXN-11942
PWY-6675	RXN-16445
PWY-6675	RXN-16434
PWY-6675	RXN-16435
PWY-6675	RXN-11924
PWY-6675	RXN-11940
PWY-6675	RXN-16446
PWY-6675	RXN-11941
P541-PWY	RXN-9679
P541-PWY	GLYCINE-N-METHYLTRANSFERASE-RXN
P541-PWY	RXN-9680
PWY-7756	RXN-12689
PWY-7756	RXN-17395
PWY-7756	RXN-17387
PWY-7756	RXN-17386
PWY-6004	RXN-9679
PWY-6004	GLYCINE-N-METHYLTRANSFERASE-RXN
PWY-6004	RXN-9680
PWY-7755	RXN-17396
PWY-7755	1.1.1.52-RXN
PWY-7755	RXN-17397
PWY-7755	RXN-17409
BETSYN-PWY	CHD-RXN
BETSYN-PWY	BADH-RXN
PWY-5304	RXN-17802
PWY-5304	ADENYLYLSULFATE-REDUCTASE-RXN
PWY-5304	SULFITE-DEHYDROGENASE-RXN
PWY-5304	1.13.11.55-RXN
PWY-5278	ADENYLYLSULFATE-REDUCTASE-RXN
PWY-5278	SULFATE-ADENYLYLTRANS-RXN
PWY-5279	ADENYLYLSULFATE-REDUCTASE-RXN
PWY-5279	SULFATE-ADENYLYLTRANSFERASE-ADP-RXN
PWY-6895	PYRIMSYN3-RXN
PWY-6895	RXN-12609
PWY-6895	RXN-12610
THISYN-PWY	THIAZOLSYN2-RXN
THISYN-PWY	PYRIMSYN3-RXN
THISYN-PWY	RXN-12611
PWY-7369	THIAMIN-TRIPHOSPHATASE-RXN
PWY-7369	THIAMIN-DIPHOSPHATE-KINASE-RXN
PWY-6890	PYRIMSYN3-RXN
PWY-6890	PYRIMSYN1-RXN
PWY-6620	GUANPRIBOSYLTRAN-RXN
PWY-6620	RXN0-5199
PWY-6599	GUANPRIBOSYLTRAN-RXN
PWY-6599	RXN0-366
PWY-7932	RXN-19076
PWY-7932	RXN-19060
PWY-7932	RXN-19097
PWY-7932	RXN-19064
PWY-7932	RXN-19075
PWY-7932	RXN-19102
PWY-7935	4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN
PWY-7935	RXN-19113
PWY-7935	RXN-19120
PWY-7935	CHORPYRLY-RXN
PWY-7935	RXN-19112
PWY-7935	RXN-19119
PWY-7935	RXN-19111
PWY-7931	RXN-19071
PWY-7931	RXN-19094
PWY-7931	RXN-19095
PWY-7931	RXN-19074
PWY-7931	RXN-19073
PWY-7931	RXN-19069
PWY-7931	RXN-19096
PWY-7934	RXN-19118
PWY-7934	4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN
PWY-7934	RXN-19115
PWY-7934	RXN-19113
PWY-7934	RXN-19116
PWY-7934	RXN-19117
PWY-7934	RXN-19112
PWY-7934	CHORPYRLY-RXN
PWY-7930	RXN-19081
PWY-7930	RXN-19066
PWY-7930	RXN-19079
PWY-7930	RXN-19082
PWY-7930	RXN-19083
PWY-7930	RXN-19077
PWY-7930	RXN-19080
PWY-7933	RXN-19076
PWY-7933	RXN-19099
PWY-7933	RXN-19103
PWY-7933	RXN-19074
PWY-7933	RXN-19060
PWY-7933	RXN-19104
PWY-7933	RXN-19064
PWY-7933	RXN-19097
PWY-7933	RXN-19098
PWY-7933	RXN-19075
PWY-7933	RXN-19062
PWY-7929	RXN-19104
PWY-7929	CHORPYRLY-RXN
PWY-7929	RXN-19062
PWY-7929	RXN-19061
PWY-6412	RXN-11139
PWY-6412	RXN-11132
PWY18C3-5	RXN18C3-18
PWY18C3-5	RXN18C3-17
PWY18C3-5	RXN18C3-16
PWY18C3-5	RXN18C3-14
PWY18C3-5	RXN18C3-19
PWY18C3-5	RXN18C3-15
PWY-6999	XANTHINE-OXIDASE-RXN
PWY-6999	RXN-13114
PWY-6999	RXN0-901
PWY-6999	RXN-13110
PWY-6999	RXN-13109
PWY-6999	RXN-13115
PWY-6999	RXN-13111
PWY-6999	RXN-13108
PWY-6999	RXN-13113
PWY-3181	INDOLE-3-ACETALDEHYDE-OXIDASE-RXN
PWY-3181	AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN
PWY-3181	RXN-1401
P184-PWY	RXN-2462
P184-PWY	PROTOCATECHUATE-45-DIOXYGENASE-RXN
P184-PWY	R107-RXN
P184-PWY	1.2.1.45-RXN
P184-PWY	RXN-2463
P184-PWY	OXALODECARB-RXN
P184-PWY	RXN-9983
P184-PWY	RXN-2464
PWY-6973	RXN-12943
PWY-6973	RXN-12921
PWY-6973	RXN-12404
PWY-6973	RXN-12931
PWY-6973	RXN-12932
PWY-6973	DTDPGLUCOSEPP-RXN
PWY-6973	RXN-16262
PWY-6973	DTDPGLUCDEHYDRAT-RXN
PWY-6973	RXN-12930
PWY-6336	4.1.1.77-RXN
PWY-6336	RXN-8529
PWY-6336	RXN-10882
PWY-6336	RXN-10883
PWY-6336	RXN-8527
PWY-7688	RXN-12839
PWY-7688	RXN-12773
PWY-7688	DTDPGLUCOSEPP-RXN
PWY-7688	DTDPGLUCDEHYDRAT-RXN
PWY-7688	RXN-16841
PWY-7688	RXN-12811
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	PROTOCATECHUATE-34-DIOXYGENASE-RXN
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	5.5.1.2-RXN
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	3-OXOADIPATE-ENOL-LACTONASE-RXN
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN
PWY-7104	RXN-13667
PWY-7104	RXN-12943
PWY-7104	RXN-13659
PWY-7104	RXN-12404
PWY-7104	DTDPGLUCOSEPP-RXN
PWY-7104	DTDPGLUCDEHYDRAT-RXN
PWY-7104	RXN-13660
PWY-7104	RXN-15233
PWY-7315	DTDPGLUCOSEPP-RXN
PWY-7315	RFFTRANS-RXN
PWY-7315	TDPFUCACTRANS-RXN
PWY-7315	DTDPGLUCDEHYDRAT-RXN
PWY-7318	DTDPGLUCOSEPP-RXN
PWY-7318	RXN-12840
PWY-7318	DTDPGLUCDEHYDRAT-RXN
PWY-7318	RXN-12810
PWY-7318	RXN-14735
PWY-6953	RXN-12839
PWY-6953	RXN-12806
PWY-6953	DTDPGLUCOSEPP-RXN
PWY-6953	DTDPGLUCDEHYDRAT-RXN
PWY-6953	RXN-12811
PWY-7657	RXN-12943
PWY-7657	RXN-12404
PWY-7657	RXN-16566
PWY-7657	RXN-11993
PWY-7657	DTDPGLUCOSEPP-RXN
PWY-7657	RXN-16262
PWY-7657	DTDPGLUCDEHYDRAT-RXN
PWY-6976	RXN-12941
PWY-6976	RXN-12935
PWY-6976	RXN-12404
PWY-6976	RXN-12942
PWY-6976	DTDPGLUCOSEPP-RXN
PWY-6976	DTDPGLUCDEHYDRAT-RXN
PWY-6976	RXN-12940
PWY-7312	DTDPGLUCOSEPP-RXN
PWY-7312	RXN-14533
PWY-7312	RXN-14532
PWY-7312	DTDPGLUCDEHYDRAT-RXN
PWY-7414	RXN-12772
PWY-7414	DTDPGLUCOSEPP-RXN
PWY-7414	RXN-12840
PWY-7414	DTDPGLUCDEHYDRAT-RXN
PWY-7414	RXN-12810
