	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Anaerobiospirillum	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934
candidate	2398	1788	1574	1401	1318	1183	1077	987	932	855	802	757	722	688	653	609	580	532	492	467	452	437	423	411	404	391	375	364	355	345	340	334	325	320	316	313	307	302	297	293	286	280	273	268	260	252	246	238	232	228	225	217	209	205	202	199	191	190	187	181	174	167	160	152	146	136	131	118	112	100	93	80	66	59	50	46	43	36	34	31	23	18	15	12	9	7	6	3	1	0	0	0	0	0	0	0	0	0	0	0
Prosthecomicrobium	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	2046	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110	1110
Rhodopirellula	2040	2040	2040	2040	2040	2040	1726	1726	1726	1726	1726	1726	1595	1595	1595	1595	1595	1595	1495	1495	1495	1495	1495	1495	1495	1384	1384	1384	1384	1384	1384	1321	1321	1321	1321	1321	1321	1273	1273	1273	1273	1273	1273	1198	1198	1198	1198	1198	1198	1198	1127	1127	1127	1127	1127	1127	1042	1042	1042	1042	1042	1042	973	973	973	973	973	973	870	870	870	870	870	870	870	767	767	767	767	767	767	651	651	651	651	651	651	458	458	458	458	458	458	166	166	166	166	166	166	166
Phormidium	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271	1271
Pleomorphomonas	2073	2073	2073	2073	2073	2073	2073	2073	2073	2073	2073	2073	2073	2073	2073	2073	2073	2073	2073	2073	1938	1938	1938	1938	1938	1938	1938	1938	1938	1938	1938	1938	1938	1938	1938	1938	1938	1938	1938	1938	1826	1826	1826	1826	1826	1826	1826	1826	1826	1826	1826	1826	1826	1826	1826	1826	1826	1826	1826	1826	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1706	1621	1621	1621	1621	1621	1621	1621	1621	1621	1621	1621	1621	1621	1621	1621	1621	1621	1621	1621	1621
Chloroflexus	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357
Novispirillum	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529	1529
Sedimentitalea	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668
Campbellbacteria	476	476	476	476	476	476	369	369	369	369	369	369	369	333	333	333	333	333	333	333	310	310	310	310	310	310	289	289	289	289	289	289	289	274	274	274	274	274	274	274	267	267	267	267	267	267	253	253	253	253	253	253	253	242	242	242	242	242	242	242	222	222	222	222	222	222	196	196	196	196	196	196	196	172	172	172	172	172	172	172	138	138	138	138	138	138	80	80	80	80	80	80	80	22	22	22	22	22	22	22
Bartonella	957	957	957	947	947	947	941	941	941	933	933	933	931	931	931	931	925	925	925	920	920	920	915	915	915	911	911	911	911	909	909	909	901	901	901	900	900	900	898	898	898	865	865	865	865	854	854	854	845	845	845	835	835	835	829	829	829	829	822	822	822	814	814	814	799	799	799	786	786	786	780	780	780	780	774	774	774	771	771	771	764	764	764	756	756	756	756	742	742	742	719	719	719	680	680	680	559	559	559	559
