	0
Burkholderia_silvatlantica_PVA5	1
Paraburkholderia_unamae_MTI-641	1
Paraburkholderia_silvatlantica_SRMrh-20	1
Micromonospora_sp._L5	1
Psychrobacter_sp._UKMCC_SWTGB2	1
Halomonas_sp._HTNK1	1
Mesorhizobium_opportunistum_WSM2075	2
Pseudomonas_syringae_Pci0788_9	1
Pseudomonas_syringae_PgyBR1	1
Pseudomonas_syringae_PgyUnB647	1
Pseudomonas_syringae_PgyLN10	1
Pseudomonas_syringae_PgyKN44	1
Pseudomonas_syringae_PlaYM7902	1
Pseudomonas_syringae_Pla107	1
Pseudomonas_syringae_PmaES4326	1
Pseudomonas_syringae_PmaH7608	1
Pseudomonas_syringae_PmaYM7930	1
Pseudomonas_syringae_PmaKN91	2
Pseudomonas_syringae_PmeN6801	1
Pseudomonas_syringae_PphY5_2	1
Pseudomonas_syringae_PphNPS3121	1
Pseudomonas_syringae_PseHC_1	1
Pseudomonas_syringae_Pta6606	1
Pseudomonas_syringae_PsyCit7	1
Pseudomonas_syringae_Pla3988	1
Pseudomonas_syringae_Pph1302A	1
Pseudomonas_syringae_PphHB10Y	1
Pseudomonas_avellanae_BPIC_631	1
Pseudomonas_syringae_PavISPaVe013	1
Pseudomonas_syringae_PavISPaVe037	1
Marinomonas_posidonica_IVIA-Po-181	8
Frankia_sp._EUN1f	3
Serratia_plymuthica_AS9	7
Serratia_plymuthica_AS12	7
Serratia_plymuthica_AS13	7
Enterobacter_ludwigii_EcWSU1	8
Frankia_symbiont_of_Datisca_glomerata_Dg1	2
Pseudomonas_syringae_CC440	1
Pseudomonas_syringae_CC457	1
Pseudomonas_syringae_CC1466	1
Pseudomonas_syringae_CC94	4
Pseudomonas_viridiflava_TA043	1
Brenneria_salicis_ATCC_15712	7
Pseudomonas_syringae_PacA10853	1
Pseudomonas_syringae_PmpFTRS_U7	1
Pseudomonas_syringae_Psv4352	3
Pseudomonas_syringae_PsyB48	1
Methylorubrum_extorquens_DSM_13060	3
Pseudomonas_syringae_TLP2	2
Calothrix_sp._PCC_7103	7
Bradyrhizobium_sp._WSM1417	1
Bradyrhizobium_sp._WSM471	1
Bradyrhizobium_sp._WSM1253	1
Microvirga_lupini_Lut6	1
Pseudomonas_syringae_pv._actinidiae_M302091	1
Serratia_proteamaculans_S4	7
Pseudomonas_syringae_Pph1448A	5
Pseudomonas_syringae_pv._syringae_B728a	5
Pseudomonas_syringae_pv._tomato_DC3000	5
Rhizobium_leguminosarum_bv._trifolii_WSM2297	1
Microvirga_lotononidis_WSM3557	1
Ensifer_sp._WSM1721	1
Mesorhizobium_sp._WSM3626	2
Burkholderia_sp._WSM2232	2
Bradyrhizobium_sp._ARR65	1
Mesorhizobium_ciceri_CMG6	2
Ensifer_aridi_TW10	1
Rhizobium_leguminosarum_bv._trifolii_WSM597	3
Mesorhizobium_australicum_WSM2073	2
Prevotella_oryzae_DSM_17970	5
Rhizobium_leguminosarum_bv._trifolii_WSM2012	3
Rhizobium_leguminosarum_bv._viciae_WSM1455	2
Rhizobium_leguminosarum_bv._trifolii_CC278f	2
Frateuria_aurantia_Kondo_67,_DSM_6220	4
Rhizobium_leguminosarum_bv._trifolii_WSM1689	3
Roseobacter_litoralis_Och_149	1
Paraburkholderia_sprentiae_WSM5005	1
Pseudomonas_sp._MOIL14HWK12:I1	2
Pseudomonas_sp._MOIL14HWK12:I2	1
Sinorhizobium_meliloti_WSM1022	1
Pseudomonas_oleovorans_MOIL14HWK12	2
Mesorhizobium_ciceri_WSM4083	1
